cliente_id,cpf,nome,endereco,cep,email,telefones
1,00000000001,Cliente 1,Rua 1,12345-101,cliente1@email.com,"[""1190000001"", ""112345671""]"
2,00000000002,Cliente 2,Rua 2,12345-102,cliente2@email.com,"[""1190000002"", ""112345672""]"
3,00000000003,Cliente 3,Rua 3,12345-103,cliente3@email.com,"[""1190000003"", ""112345673""]"
4,00000000004,Cliente 4,Rua 4,12345-104,cliente4@email.com,"[""1190000004"", ""112345674""]"
5,00000000005,Cliente 5,Rua 5,12345-105,cliente5@email.com,"[""1190000005"", ""112345675""]"
6,00000000006,Cliente 6,Rua 6,12345-106,cliente6@email.com,"[""1190000006"", ""112345676""]"
7,00000000007,Cliente 7,Rua 7,12345-107,cliente7@email.com,"[""1190000007"", ""112345677""]"
8,00000000008,Cliente 8,Rua 8,12345-108,cliente8@email.com,"[""1190000008"", ""112345678""]"
9,00000000009,Cliente 9,Rua 9,12345-109,cliente9@email.com,"[""1190000009"", ""112345679""]"
10,00000000010,Cliente 10,Rua 10,12345-110,cliente10@email.com,"[""11900000010"", ""1123456710""]"
