cliente_id,cpf,nome,endereco,cep,email,telefones
1001,10000000001,Cliente Concorrente 1,Rua Concorrente 1,54321-001,concorrente1@email.com,"[""11988888001"", ""11333333001""]"
1002,10000000002,Cliente Concorrente 2,Rua Concorrente 2,54321-002,concorrente2@email.com,"[""11988888002"", ""11333333002""]"
1003,10000000003,Cliente Concorrente 3,Rua Concorrente 3,54321-003,concorrente3@email.com,"[""11988888003"", ""11333333003""]"
1004,10000000004,Cliente Concorrente 4,Rua Concorrente 4,54321-004,concorrente4@email.com,"[""11988888004"", ""11333333004""]"
1005,10000000005,Cliente Concorrente 5,Rua Concorrente 5,54321-005,concorrente5@email.com,"[""11988888005"", ""11333333005""]"
1006,10000000006,Cliente Concorrente 6,Rua Concorrente 6,54321-006,concorrente6@email.com,"[""11988888006"", ""11333333006""]"
1007,10000000007,Cliente Concorrente 7,Rua Concorrente 7,54321-007,concorrente7@email.com,"[""11988888007"", ""11333333007""]"
1008,10000000008,Cliente Concorrente 8,Rua Concorrente 8,54321-008,concorrente8@email.com,"[""11988888008"", ""11333333008""]"
1009,10000000009,Cliente Concorrente 9,Rua Concorrente 9,54321-009,concorrente9@email.com,"[""11988888009"", ""11333333009""]"
1010,10000000010,Cliente Concorrente 10,Rua Concorrente 10,54321-010,concorrente10@email.com,"[""11988888010"", ""11333333010""]"
1011,10000000011,Cliente Concorrente 11,Rua Concorrente 11,54321-011,concorrente11@email.com,"[""11988888011"", ""11333333011""]"
1012,10000000012,Cliente Concorrente 12,Rua Concorrente 12,54321-012,concorrente12@email.com,"[""11988888012"", ""11333333012""]"
1013,10000000013,Cliente Concorrente 13,Rua Concorrente 13,54321-013,concorrente13@email.com,"[""11988888013"", ""11333333013""]"
1014,10000000014,Cliente Concorrente 14,Rua Concorrente 14,54321-014,concorrente14@email.com,"[""11988888014"", ""11333333014""]"
1015,10000000015,Cliente Concorrente 15,Rua Concorrente 15,54321-015,concorrente15@email.com,"[""11988888015"", ""11333333015""]"
1016,10000000016,Cliente Concorrente 16,Rua Concorrente 16,54321-016,concorrente16@email.com,"[""11988888016"", ""11333333016""]"
1017,10000000017,Cliente Concorrente 17,Rua Concorrente 17,54321-017,concorrente17@email.com,"[""11988888017"", ""11333333017""]"
1018,10000000018,Cliente Concorrente 18,Rua Concorrente 18,54321-018,concorrente18@email.com,"[""11988888018"", ""11333333018""]"
1019,10000000019,Cliente Concorrente 19,Rua Concorrente 19,54321-019,concorrente19@email.com,"[""11988888019"", ""11333333019""]"
1020,10000000020,Cliente Concorrente 20,Rua Concorrente 20,54321-020,concorrente20@email.com,"[""11988888020"", ""11333333020""]"
