cpf,nome,endereco,cep,email,telefones
"123.456.789-01","João Silva","Rua das Palmeiras","12345-678","joao.silva@email.com","(11) 98765-4321"
"987.654.321-00","Ana Costa","Avenida Paulista","45678-910","ana.costa@email.com","(11) 91234-5678"
"456.789.123-45","Pedro Souza","Rua João Pessoa","78901-234","pedro.souza@email.com","(21) 99123-4567"
"321.654.987-12","Mariana Lima","Rua das Acácias","23456-789","mariana.lima@email.com","(21) 98876-5432"
"654.987.321-00","Lucas Almeida","Rua 15 de Novembro","34567-890","lucas.almeida@email.com","(31) 99111-2233"
"213.546.879-11","Fernanda Oliveira","Av. Brasil","98765-432","fernanda.oliveira@email.com","(31) 99887-4455"
"543.216.987-32","Carlos Pereira","Rua do Sol","65432-123","carlos.pereira@email.com","(41) 99333-2244"
"876.543.210-65","Julia Martins","Rua da Paz","12345-678","julia.martins@email.com","(41) 98877-5566"
"234.567.891-23","Roberto Costa","Rua Rio Branco","87654-321","roberto.costa@email.com","(51) 99222-3344"
"678.901.234-56","Renata Santos","Av. Ipiranga","56789-012","renata.santos@email.com","(51) 99666-7788"
